,Region,Year,Average BMI (kg/m²)
0,Africa,1975,19.739130434782613
1,Africa,1976,19.860869565217396
2,Africa,1977,19.97608695652174
3,Africa,1978,20.093478260869563
4,Africa,1979,20.20217391304348
5,Africa,1980,20.317391304347826
6,Africa,1981,20.428260869565214
7,Africa,1982,20.539130434782614
8,Africa,1983,20.660869565217393
9,Africa,1984,20.76739130434783
10,Africa,1985,20.87608695652174
11,Africa,1986,20.989130434782602
12,Africa,1987,21.097826086956527
13,Africa,1988,21.208695652173915
14,Africa,1989,21.315217391304344
15,Africa,1990,21.41956521739131
16,Africa,1991,21.52173913043478
17,Africa,1992,21.62173913043478
18,Africa,1993,21.72391304347826
19,Africa,1994,21.81521739130435
20,Africa,1995,21.906521739130444
21,Africa,1996,21.995652173913047
22,Africa,1997,22.093478260869563
23,Africa,1998,22.178260869565214
24,Africa,1999,22.278260869565216
25,Africa,2000,22.367391304347823
26,Africa,2001,22.460869565217397
27,Africa,2002,22.543478260869556
28,Africa,2003,22.62826086956522
29,Africa,2004,22.72391304347826
30,Africa,2005,22.808695652173913
31,Africa,2006,22.884782608695648
32,Africa,2007,22.963043478260865
33,Africa,2008,23.039130434782603
34,Africa,2009,23.108695652173918
35,Africa,2010,23.173913043478265
36,Africa,2011,23.239130434782613
37,Africa,2012,23.29565217391305
38,Africa,2013,23.367391304347823
39,Africa,2014,23.434782608695652
40,Africa,2015,23.489130434782602
41,Africa,2016,23.543478260869556
42,Americas,1975,23.039999999999996
43,Americas,1976,23.137142857142862
44,Americas,1977,23.248571428571434
45,Americas,1978,23.35142857142857
46,Americas,1979,23.459999999999997
47,Americas,1980,23.55714285714286
48,Americas,1981,23.677142857142854
49,Americas,1982,23.771428571428572
50,Americas,1983,23.88285714285715
51,Americas,1984,23.977142857142855
52,Americas,1985,24.08857142857143
53,Americas,1986,24.182857142857138
54,Americas,1987,24.297142857142862
55,Americas,1988,24.394285714285715
56,Americas,1989,24.49142857142857
57,Americas,1990,24.59142857142857
58,Americas,1991,24.699999999999996
